"text","text_en","cmp_code","eu_code"
"Local authorities should be expected and funded to assess social housing needs, the availability and suitability of existing housing stock , and the sites suitable for new social housing.",NA,"301",NA
"We would ensure that the needs of the elderly, families with children, people living with a disability or requiring support through sheltered housing are adequately catered for.",NA,"504",NA
"A fair deal for renters",NA,"H",NA
"Rent controls: Elected Greens will give the power to local authorities to control rents if the local rental market is overheated.",NA,"403",NA
"Allowances would be made for maintenance.",NA,"403",NA
"A new stable rental tenancy and the ending of no-fault evictions: Elected Greens will push to end Section 21 no-fault evictions and introduce longterm leases.",NA,"403",NA
"Private tenants need to be secure in their homes.",NA,"403",NA
"Renters will also be given a new right to demand energy efficiency improvements.",NA,"416.2",NA
"Private Residential Tenancy Boards: Elected Greens will introduce Private Residential Tenancy Boards.",NA,"403",NA
"These would provide an informal, cheap and speedy forum for resolving disputes before they reach a tribunal.",NA,"403",NA
"Local authorities will be funded to meet a new statutory duty of tenancy relations.",NA,"301",NA
"Buy the supply",NA,"H",NA
"Some local authorities have already been buying existing homes to increase their stock of social housing.",NA,"504",NA
"This is currently being done on the open market with no enhanced leverage to reflect the wider social and economic benefits that can come from an increase in the supply of social housing.",NA,"504",NA
"Elected Greens will introduce legislation to give local authorities, registered social landlords and community housing groups the first option to buy certain properties at reasonable rates, for example private rental property that hasn’t been insulated to EPC rating C or that fails to meet the decent homes standard, or any property that is left empty for more than six months.",NA,"504",NA
"Planning",NA,"H",NA
"Greens want communities to have the funding and the powers to make the planning decisions that are right for them.",NA,"606.1",NA
"Local authorities need to be given the resources to act as guardians of the land and the built environment.",NA,"301",NA
"They need to be able exercise a place-making and place-shaping role.",NA,"301",NA
"To enhance the role of local authorities, elected Greens will push for local decisions about planning to be informed by a land use planning policy framework that seeks to balance various needs, such as to meet the challenge of the climate emergency, protect nature, grow enough food, and provide homes and energy.",NA,"301",NA
"Each area’s local plan will set viability levels for development and there will be no subsequent negotiation with developers.",NA,"416.2",NA
"And Greens will take back the power of building control from developers and invest in publicly accountable building inspectors and building control officers.",NA,"403",NA
"We cannot allow the continued provision of dangerous and substandard homes.",NA,"403",NA
"Minimising the climate impact of new homes and buildings",NA,"H",NA
"Elected Greens will push for these steps to lower the carbon emissions from the built environment:",NA,"416.2",NA
"Demolition will require a full planning application or inclusion in a local development order.",NA,"403",NA
"All new-built homes will be required to maximise the use of solar panels and heat pumps, or equivalent low carbon technologies.",NA,"416.2",NA
"All planning applications will be required to include whole-life carbon and energy calculations, covering construction, maintenance and operational use.",NA,"416.2",NA
"All materials from demolished buildings will need to be considered for reuse.",NA,"416.2",NA
"Rates for disposal of builders’ waste will be increased to ensure that the economic driver for reuse is firmly in place.",NA,"403",NA
"Building design needs to be future-proofed.",NA,"416.2",NA
"The government is still allowing homes to be built with obsolescent gas boilers and insufficient insulation.",NA,"416.2",NA
"New builds and home renovations will meet the standards needed to mitigate climate change.",NA,"416.2",NA
"New developments need to ensure that residents are not car dependent.",NA,"411",NA
"Powering up Fairer, Greener Energy",NA,"H",NA
"It’s a scandal that, in one of the richest countries in the world, millions of people cannot afford to heat their homes or cook a meal.",NA,"503",NA
"This is because of political mismanagement and a failure to invest in reliable renewable energy",NA,"416.2",NA
"or to upgrade the UK’s homes so that they’re comfortable and warm.",NA,"416.2",NA
"Elected Greens know we can ensure secure energy and affordable bills by moving over to a range of renewable energy technologies, from wind to solar.",NA,"416.2",NA
"We will also make it easier for communities to have ownership of their energy supply.",NA,"606.1",NA
"Making our homes more energy efficient and changing how we travel is crucial to reducing the cost of energy for everyone.",NA,"416.2",NA
"In addition, Green MPs will push for: Wind to provide around 70% of the UK’s electricity by 2030.",NA,"416.2",NA
"No new oil and gas licences",NA,"416.2",NA
"and the ending of all subsidies to the oil and gas industries.",NA,"416.2",NA
"Communities to own their energy sources, ensuring they can use any profit from selling excess energy to reduce their bills or benefit their communities.",NA,"606.1",NA
"Phasing out fossil fuels",NA,"H",NA
"It is dangerous and reckless to extract more fossil fuels in an accelerating climate emergency.",NA,"416.2",NA
"Green MPs will push the next government to stop all new fossil fuel extraction projects in the United Kingdom",NA,"416.2",NA
"and to cancel recently issued fossil fuel licences, such as for Rosebank.",NA,"416.2",NA
"We will also end all subsidies to the oil and gas industries.",NA,"416.2",NA
"We will introduce a carbon tax on all fossil fuels, whether produced here or imported.",NA,"416.2",NA
"The tax would be proportional to the greenhouse gas emissions produced when fuel is burnt.",NA,"416.2",NA
"We would raise the carbon tax rate progressively over a decade, reflecting the cost to the planet of coal, oil and gas and driving their rapid replacement with cheaper, renewable sources of energy.",NA,"416.2",NA
"Accelerating clean energy investment and delivery",NA,"H",NA
