"text","text_en","cmp_code","eu_code"
"We will go further to transform the UK regulatory landscape, making sure regulators deliver the best outcomes for business,",NA,"402",NA
"consumers",NA,"403",NA
"and the environment.",NA,"501",NA
"Thanks to Brexit, we have taken back control of our laws and freed British businesses from unnecessary burdens.",NA,"110",NA
"We legislated to remove the principle of EU law supremacy and have undertaken a root-and-branch review of the more than 6,000 laws we had inherited from the EU.",NA,"110",NA
"We have already repealed or reformed over 2,000 EU laws and by July 2026 we will have repealed or reformed over half of the entire stock of EU law we inherited.",NA,"110",NA
"Only the Conservatives will keep on removing EU laws from our statute book.",NA,"110",NA
"Our Smarter Regulation approach has already saved 50 million hours of administrative time for business, saving them an estimated £1 billion.",NA,"110",NA
"We have also used post-Brexit tax freedoms, including introducing VAT-free installations of energy-efficient materials and replacing complex EU alcohol duty rates.",NA,"110",NA
"And to protect our pubs we will maintain our Brexit Pubs Guarantee that means the duty on drinks on draught, such as beer and cider, will be less than in supermarkets.",NA,"110",NA
"Cutting government bureaucracy",NA,"H",NA
"We will make government more efficient, cut waste and attract the best and the brightest, by:",NA,"303",NA
"Returning the civil service to its prepandemic size to pay for our commitment to increase defence spending to 2.5% of GDP.",NA,"104",NA
"Halving the amount of taxpayers’ money spent on external consultants.",NA,"303",NA
"We will introduce controls on all ‘Equality, Diversity and Inclusion’ initiatives and spending.",NA,"303",NA
"Bring quango spending under control.",NA,"303",NA
"Moving 25,000 more civil servants outside of London, building on successes like the Darlington Economic Campus and hubs in Stoke-on-Trent and Wolverhampton.",NA,"303",NA
"Opening up civil service recruitment by requiring jobs to be advertised externally to identify the best candidates.",NA,"303",NA
"Doubling digital and AI expertise in the civil service, to take advantage of the latest technologies to transform public services.",NA,"303",NA
"These reforms will allow us to achieve a significant productivity boost in Whitehall.",NA,"303",NA
"If we returned public sector productivity to prepandemic levels that would deliver up to £20 billion of annual savings.",NA,"303",NA
"The NHS Productivity Plan shows that the public sector can set out detailed plans for achieving a step-change in productivity, so we will require all Departments to deliver plans for 2% annual productivity growth at the next Spending Review.",NA,"303",NA
"To limit the impact of industrial action on public services and balance the ability of workers to strike with the rights of the public, we will continue implementing our Minimum Service Levels legislation.",NA,"702",NA
"Our plan to cut taxes and protect pensions",NA,"H",NA
"As Conservatives, we believe in lower taxes because people, not governments, make the best decisions about how to spend their money.",NA,"201.1",NA
"But we can only ever cut taxes responsibly when we have a way to fund it sustainably, consistent with getting debt and borrowing down and in a way which does not send inflation spiralling.",NA,"414",NA
"Because of the support we provided to families and businesses through Covid and the energy shock, we had to make difficult decisions to pay down our debts.",NA,"414",NA
"But we were clear that once inflation was under control and the public finances were on a sustainable path, we would cut taxes.",NA,"414",NA
"Because of the progress we have made, with inflation back to normal and debt on track to fall from next year, we have been able to afford to begin cutting taxes as part of our plan to reward work and grow the economy,",NA,"414",NA
"all without increasing borrowing or cutting spending on public services.",NA,"414",NA
"Cutting tax for working people",NA,"H",NA
"In the first half of this year, we began cutting National Insurance.",NA,"701",NA
"It is unfair that working people pay two taxes on their income – income tax and National Insurance – when other people only pay income tax.",NA,"701",NA
"Our long-term ambition, when it is affordable to do so, is to keep cutting National Insurance until it’s gone, as part of our plan to make the tax system simpler and fairer.",NA,"701",NA
"As the next step in that plan, we will cut employee National Insurance to 6% by April 2027 – meaning that we will have halved it from 12% at the beginning of this year, a total tax cut of £1,350 for the average worker on £35,000.",NA,"701",NA
"This comes on top of the significant above inflation increase to the personal allowance we have delivered since 2010, nearly doubling it from £6,475 to £12,750.",NA,"701",NA
"This means the tax burden on workers is falling, with the average earner paying the lowest effective personal tax rate since 1975 – lower than in the US, France, Germany or any G7 country.",NA,"701",NA
"As a further downpayment on our long-term ambition to abolish National Insurance, there is one group for whom we will make that a reality in the next Parliament.",NA,"701",NA
"Last year, the main rate of National Insurance for the self-employed stood at 9%.",NA,"402",NA
"To recognise the unique contribution of these risk-takers and entrepreneurs to our economy and the insecurity they face without the rights and protections that employees enjoy, we will abolish it entirely by the end of the next Parliament.",NA,"402",NA
"The abolition of the main rate of Class 4 National Insurance contributions builds on our abolition of Class 2 contributions for self-employed people from April this year.",NA,"402",NA
"This will not affect their entitlement to the State Pension.",NA,"402",NA
"This is a massive simplification of the tax system which means that 93% of self-employed people – four million of them – will no longer pay selfemployed National Insurance.",NA,"402",NA
"As well as cutting National Insurance for 29 million people, we will also not raise the rate of income tax or VAT.",NA,"503",NA
"Increasing pay for working people",NA,"H",NA
"We introduced the National Living Wage in 2016 and this year achieved our ambition of raising it to two thirds of median earnings – increasing it to £11.44 per hour",NA,"412",NA
"and extending it to cover all workers aged over 21.",NA,"412",NA
"This ended low pay for those on the National Living Wage, with someone working full-time receiving a pay rise worth £1,800.",NA,"412",NA
"As a result of our personal tax cuts and increases in the minimum wage, the take-home pay of someone working full time on the National Living Wage has gone up by 35% in real terms since 2010.",NA,"412",NA
"We will maintain the National Living Wage in each year of the next Parliament at two-thirds of median earnings.",NA,"412",NA
"On current forecasts, that would mean it rising to around £13 per hour, up from a minimum wage of £5.80 under Labour in 2010.",NA,"412",NA
"We will ensure the UK retains the flexible and dynamic labour market that gives businesses the confidence to create jobs and invest in their workforce.",NA,"402",NA
"The number of payrolled employees is at a near record high,",NA,"701",NA
