timestamp_utc,cache_key,model,subdir
2026-08-31T19:11:16.279717+00:00,extract_2024_reform_neutral_gpt-5_run4,gpt-5,extractions
2026-08-31T19:16:44.977058+00:00,extract_2024_reform_neutral_gpt-5_run5,gpt-5,extractions
2026-08-31T19:21:03.333867+00:00,extract_2024_reform_framing_preserving_gpt-5_run1,gpt-5,extractions
2026-08-31T19:23:12.223356+00:00,extract_2024_reform_framing_preserving_gpt-5_run2,gpt-5,extractions
2026-08-31T19:25:11.159546+00:00,extract_2024_reform_framing_preserving_gpt-5_run3,gpt-5,extractions
2026-08-31T19:26:43.757274+00:00,extract_2024_reform_framing_preserving_gpt-5_run4,gpt-5,extractions
2026-08-31T19:29:52.518397+00:00,extract_2024_reform_framing_preserving_gpt-5_run5,gpt-5,extractions
2026-08-31T19:31:57.681325+00:00,extract_2024_reform_framed_gpt-5_run1,gpt-5,extractions
2026-08-31T19:34:11.619639+00:00,extract_2024_reform_framed_gpt-5_run2,gpt-5,extractions
2026-08-31T19:35:56.396675+00:00,extract_2024_reform_framed_gpt-5_run3,gpt-5,extractions
2026-08-31T19:37:54.471363+00:00,extract_2024_reform_framed_gpt-5_run4,gpt-5,extractions
2026-08-31T19:39:20.307341+00:00,extract_2024_reform_framed_gpt-5_run5,gpt-5,extractions
2026-08-31T19:41:16.523912+00:00,extract_2024_reform_distorted_gpt-5_run1,gpt-5,extractions
2026-08-31T19:43:42.784330+00:00,extract_2024_reform_distorted_gpt-5_run2,gpt-5,extractions
2026-08-31T19:45:14.829418+00:00,extract_2024_reform_distorted_gpt-5_run3,gpt-5,extractions
2026-08-31T19:46:07.741863+00:00,extract_2024_reform_distorted_gpt-5_run4,gpt-5,extractions
2026-08-31T19:47:11.542395+00:00,extract_2024_reform_distorted_gpt-5_run5,gpt-5,extractions
2026-08-31T19:48:22.938185+00:00,extract_2024_reform_anonymised_gpt-5_run1,gpt-5,extractions
2026-08-31T19:50:02.805337+00:00,extract_2024_reform_anonymised_gpt-5_run2,gpt-5,extractions
2026-08-31T19:51:40.145462+00:00,extract_2024_reform_anonymised_gpt-5_run3,gpt-5,extractions
2026-08-31T19:53:31.014252+00:00,extract_2024_reform_anonymised_gpt-5_run4,gpt-5,extractions
2026-08-31T19:55:33.741241+00:00,extract_2024_reform_anonymised_gpt-5_run5,gpt-5,extractions
2026-08-31T19:56:17.384132+00:00,2024_ld_minimal_gpt-5_run1,gpt-5,summaries
2026-08-31T19:56:55.130861+00:00,2024_ld_minimal_gpt-5_run2,gpt-5,summaries
2026-08-31T19:57:31.142244+00:00,2024_ld_minimal_gpt-5_run3,gpt-5,summaries
2026-08-31T19:58:02.813669+00:00,2024_ld_minimal_gpt-5_run4,gpt-5,summaries
2026-08-31T19:58:29.699460+00:00,2024_ld_minimal_gpt-5_run5,gpt-5,summaries
2026-08-31T19:59:15.801649+00:00,2024_ld_neutral_gpt-5_run1,gpt-5,summaries
2026-08-31T20:00:12.894130+00:00,2024_ld_neutral_gpt-5_run2,gpt-5,summaries
2026-08-31T20:01:04.631085+00:00,2024_ld_neutral_gpt-5_run3,gpt-5,summaries
2026-08-31T20:01:54.258012+00:00,2024_ld_neutral_gpt-5_run4,gpt-5,summaries
2026-08-31T20:02:48.500050+00:00,2024_ld_neutral_gpt-5_run5,gpt-5,summaries
2026-08-31T20:03:34.674773+00:00,2024_ld_framing_preserving_gpt-5_run1,gpt-5,summaries
2026-08-31T20:04:05.129108+00:00,2024_ld_framing_preserving_gpt-5_run2,gpt-5,summaries
2026-08-31T20:04:41.607680+00:00,2024_ld_framing_preserving_gpt-5_run3,gpt-5,summaries
2026-08-31T20:05:24.360403+00:00,2024_ld_framing_preserving_gpt-5_run4,gpt-5,summaries
2026-08-31T20:05:55.660027+00:00,2024_ld_framing_preserving_gpt-5_run5,gpt-5,summaries
2026-08-31T20:07:19.918143+00:00,2024_ld_framed_gpt-5_run1,gpt-5,summaries
